"","treat","elapsed.time","flux.mn","flux.sd","cum.mn","cum.sd","NH3.bg.mn"
"1","NEO",0,3.50671838887626e-05,2.93893502675789e-06,0,0,10.4937504022333
"2","NEO",1.73,5.47811736999182e-05,2.57422286708255e-06,0.00467211459461141,6.22290534916995e-05,9.62541495433333
"3","NEO",3.46,6.20302489839428e-05,1.68439425082277e-05,0.0107463085741722,0.000840707428110912,8.0601739374
"4","NEO",5.2,5.38741685090658e-05,1.61117845878512e-05,0.0167733382838086,0.00243681189122363,6.82140443093333
"5","NEO",6.93,3.7531423420854e-05,1.18924079386001e-05,0.0215264290641645,0.0038330766553415,5.51006656736667
"6","NEO",8.66,2.02685282733972e-05,4.46795767545023e-06,0.0245320265522656,0.00468069326598975,4.97501484193333
"7","NEO",10.4,1.60643181631328e-05,2.57728834626842e-06,0.0264213345669651,0.00504411179493737,4.3933747973
"8","NEO",12.1,1.41674233499527e-05,1.79712539645587e-06,0.0279933851256456,0.00526712692617012,4.2927605068
"9","NEO",13.9,1.31915314370994e-05,1.81694207719112e-06,0.0294160507745723,0.00544959460411464,4.54961457413333
"10","NEO",15.6,1.59559868922062e-05,1.52930578744897e-06,0.0309317217276962,0.00546281881255006,4.894401276
"11","NEO",17.3,4.22691839166725e-05,1.96724512873077e-05,0.0339594306097579,0.00450312789504494,7.88739279006667
"12","NEO",19.1,6.89925888426754e-05,9.76179251240347e-06,0.039745042793244,0.0035138720840087,8.80773271386667
"13","NEO",20.8,7.04771539095848e-05,4.19677839749691e-06,0.0469974694163615,0.00323718212999123,9.46477004853333
"14","NEO",22.5,6.64556524713154e-05,7.78298355335508e-06,0.0541179753481684,0.00267851721699708,9.66926271416667
"15","NEO",24.3,6.0602867582596e-05,5.22446056512242e-06,0.0607250183909718,0.00228774102023829,9.8027505054
"16","NEO",26,5.25578837732593e-05,6.06703988924897e-06,0.0666093774614762,0.002647281540675,9.6520302371
"17","NEO",27.7,4.29799159165523e-05,5.63298975618115e-06,0.0715773430453465,0.00321209809587084,7.89374910423333
"18","NEO",29.5,3.38668521330228e-05,2.37769862530719e-06,0.0755733749839244,0.00358323896997028,6.31260709226667
"19","NEO",31.2,2.40205812092624e-05,3.47754556432784e-06,0.0785835215177232,0.00374151688416995,5.32814953443333
"20","NEO",32.9,1.61965111323974e-05,2.8956752376171e-06,0.0806748103194895,0.00388031431499644,4.83258210723333
"21","NEO",34.6,1.12814768018392e-05,1.19071486273554e-06,0.0821036656920698,0.00400260434149965,4.5739017923
"22","NEO",36.4,9.98656996568322e-06,1.66067232572066e-06,0.083209604123981,0.00394923967742391,3.91994798173333
"23","NEO",38.1,8.14557337824637e-06,1.6839244012669e-06,0.0841524755778654,0.00378090622645036,4.0383350026
"24","NEO",39.8,9.98589975621634e-06,3.43761339603954e-06,0.0850953121808574,0.00353543734898236,4.94930556276667
"25","NEO",41.6,3.89354192401321e-05,1.98921388969236e-05,0.0876392207686676,0.00307337440328794,7.60878462203333
"26","NEO",43.3,5.32983348535902e-05,9.84144189876724e-06,0.0924353759815411,0.00280111088217293,9.8172872216
"27","NEO",45,3.8615531137659e-05,7.90677136281825e-06,0.0972148970130861,0.00222883255304254,10.1386726814
"28","NEO",46.8,2.62471186612642e-05,5.36785158485888e-06,0.10058775480263,0.00170650426188121,9.73343194793333
"29","NEO",48.5,1.75250544845614e-05,5.87630478784906e-06,0.102863907806213,0.0012504188432311,10.6028715846667
"30","NEO",50.2,1.70443302798026e-05,4.27066740062891e-06,0.10466151581396,0.00123140912010076,6.84244781906667
"31","NEO",52,1.38481149950939e-05,2.02835699938358e-06,0.106267922968255,0.00134415705594769,7.06465633096667
"32","NEO",53.7,1.06882952221216e-05,1.33549363724926e-06,0.10754381629955,0.00130915072667127,6.1182428316
"33","NEO",55.4,6.71455853773453e-06,2.10130072155e-06,0.108448764695062,0.00138771412941739,7.50461976983333
"34","NEO",57.2,4.53037243544872e-06,4.16161326224578e-06,0.109033501105668,0.00153517698024429,9.25122660886667
"35","NEO",58.9,-4.90271844679597e-06,1.30343930531585e-06,0.109131448267831,0.00164594692515474,13.0860721816667
"36","NEO",60.6,3.65267319218216e-06,1.60501773033318e-06,0.109144168953623,0.00165250867290193,10.2472828249
"37","NEO",62.4,6.0123959763378e-06,3.67016044783914e-06,0.109646752550386,0.00174685295386716,8.0600831626
"38","NEO",64.1,1.14111900680284e-05,1.90584198956504e-08,0.110552779024693,0.00181968681378318,5.7998635073
"39","NEO",65.8,1.89944250734048e-05,6.53061412939609e-06,0.112133871012047,0.00207269003085847,5.85716997706667
"40","NEO",67.6,2.09134635338046e-05,8.38044443572172e-06,0.114209081219622,0.00278293054883612,5.82475153933333
"41","NEO",69.3,4.13987659145512e-05,9.21710426750782e-06,0.117449317150937,0.00369693005297677,7.2558672569
"42","NEO",71,3.08022475197478e-05,2.61639802776278e-06,0.12120376984952,0.00429924301226105,10.4191812838333
"43","NEO",72.8,2.59900938385957e-05,4.67158838730493e-06,0.124156971600154,0.00456460077091231,10.7866641726667
"44","NEO",74.5,2.66166073715898e-05,1.20347425096684e-05,0.126892520063084,0.0051288268073532,7.2412454654
"45","NEO",76.2,1.60304053961493e-05,4.38834206831817e-06,0.129110164727006,0.00577258075827231,5.75914375503333
